Date,Open,High,Low,Close,Adj Close,Volume
2013-10-15,113.889999,118.919998,107.040001,111.970001,111.970001,874879
2013-10-16,111.970001,116.680000,109.580002,113.430000,113.430000,283657
2013-10-17,113.430000,120.040001,113.540001,119.959999,119.959999,631410
2013-10-18,119.959999,140.699997,119.959999,130.509995,130.509995,1430733
2013-10-19,130.509995,133.990005,129.110001,132.990005,132.990005,187164
2013-10-20,132.990005,141.789993,132.570007,138.839996,138.839996,571285
2013-10-21,138.839996,148.649994,137.880005,145.940002,145.940002,727736
2013-10-22,145.940002,164.729996,144.520004,164.550003,164.550003,1042992
2013-10-23,164.550003,167.759995,124.860001,146.970001,146.970001,2495613
2013-10-24,146.970001,149.300003,129.960007,142.869995,142.869995,790691
2013-10-25,142.869995,144.600006,135.490005,139.850006,139.850006,193588
2013-10-26,139.850006,149.970001,138.059998,147.240005,147.240005,281018
2013-10-28,147.240005,153.759995,144.570007,148.529999,148.529999,324485
2013-10-29,148.529999,154.949997,148.369995,154.929993,154.929993,252499
2013-10-30,154.929993,156.910004,149.449997,151.380005,151.380005,430735
2013-10-31,151.380005,152.979996,147.550003,152.830002,152.830002,236450
2013-11-01,152.830002,154.050003,151.339996,153.389999,153.389999,201690
2013-11-02,153.389999,156.399994,152.389999,155.919998,155.919998,236073
2013-11-03,155.919998,163.899994,153.559998,163.899994,163.899994,496962
2013-11-04,163.899994,174.270004,161.210007,173.320007,173.320007,735526
2013-11-05,173.320007,187.910004,169.639999,181.899994,181.899994,1575974
2013-11-06,181.899994,198.740005,182.679993,196.509995,196.509995,1245996
2013-11-07,196.509995,234.190002,195.399994,227.919998,227.919998,2862434
2013-11-08,227.919998,268.989990,226.910004,259.000000,259.000000,1916324
2013-11-09,259.000000,297.899994,253.929993,274.989990,274.989990,2181760
2013-11-10,274.989990,276.230011,216.149994,253.690002,253.690002,2721906
2013-11-11,253.690002,274.399994,240.839996,267.130005,267.130005,655220
2013-11-12,267.130005,287.589996,264.290009,277.450012,277.450012,1038355
2013-11-13,277.450012,329.149994,277.390015,318.049988,318.049988,2121743
2013-11-14,318.049988,329.239990,298.720001,318.309998,318.309998,1599621
2013-11-15,318.309998,343.420013,309.149994,326.109985,326.109985,1273845
2013-11-16,326.109985,345.029999,318.570007,341.769989,341.769989,695151
2013-11-17,341.769989,394.260010,341.670013,388.609985,388.609985,1451589
2013-11-18,388.609985,590.929993,383.600006,582.530029,582.530029,4762321
2013-11-19,582.530029,653.219971,370.579987,479.950012,479.950012,9322445
2013-11-20,479.950012,481.019989,334.100006,467.630005,467.630005,6396034
2013-11-21,467.630005,566.849976,444.640015,551.299988,551.299988,3404594
2013-11-22,551.299988,594.630005,511.500000,585.030029,585.030029,1811482
2013-11-23,585.030029,656.169983,581.510010,625.229980,625.229980,2449488
